date,binary_mean,binary_squared_mean,binary_sqrt_mean,prob_mean,prob_squared_mean,prob_sqrt_mean
1/2/2020,1.0,1.0,1.0,0.587,0.64,0.564
1/3/2020,0.466,0.689,0.335,0.216,0.3,0.16
1/4/2020,0.476,0.715,0.337,0.348,0.471,0.271
1/5/2020,0.781,0.942,0.603,0.626,0.76,0.476
1/6/2020,-0.431,-0.201,-0.553,-0.149,0.075,-0.275
1/7/2020,0.427,0.502,0.383,0.332,0.394,0.285
1/8/2020,1.0,1.0,0.999,0.726,0.72,0.729
1/9/2020,0.812,0.955,0.673,0.554,0.711,0.416
1/10/2020,0.601,0.77,0.479,0.485,0.619,0.395
1/11/2020,-0.151,0.167,-0.327,0.149,0.362,0.02
1/12/2020,0.872,0.965,0.767,0.549,0.644,0.461
1/13/2020,-0.304,-0.199,-0.328,-0.037,0.073,-0.073
1/14/2020,0.269,0.426,0.186,0.25,0.357,0.187
1/15/2020,-0.146,0.178,-0.323,-0.142,0.117,-0.285
1/16/2020,0.021,0.357,-0.129,0.137,0.396,0.015
1/17/2020,0.626,0.839,0.455,0.462,0.572,0.372
1/18/2020,0.596,0.617,0.594,0.494,0.509,0.493
1/19/2020,0.528,0.623,0.484,0.451,0.503,0.425
1/20/2020,0.524,0.749,0.384,0.459,0.617,0.35
1/21/2020,1.0,1.0,1.0,0.356,0.366,0.351
1/22/2020,0.082,0.112,0.048,0.162,0.172,0.148
1/23/2020,0.911,0.981,0.828,0.575,0.648,0.492
1/24/2020,0.348,0.544,0.26,0.241,0.328,0.208
1/25/2020,0.914,0.982,0.825,0.554,0.653,0.465
1/26/2020,-1.0,-1.0,-0.999,-0.783,-0.795,-0.777
1/27/2020,0.65,0.914,0.369,0.616,0.726,0.498
1/28/2020,-0.358,-0.577,-0.259,-0.409,-0.554,-0.35
1/29/2020,0.553,0.791,0.399,0.395,0.532,0.304
1/30/2020,0.412,0.735,0.206,0.294,0.545,0.136
1/31/2020,0.431,0.455,0.447,0.367,0.412,0.342
2/1/2020,-0.716,-0.848,-0.619,-0.39,-0.452,-0.347
2/2/2020,0.389,0.554,0.314,0.219,0.327,0.168
2/3/2020,0.529,0.576,0.512,0.259,0.275,0.252
2/4/2020,0.576,0.838,0.389,0.409,0.642,0.247
2/5/2020,0.381,0.478,0.302,0.224,0.328,0.152
2/6/2020,-0.031,0.029,-0.03,-0.033,0.066,-0.071
2/7/2020,0.755,0.92,0.586,0.586,0.669,0.484
