date,binary_mean,binary_squared_mean,binary_sqrt_mean,prob_mean,prob_squared_mean,prob_sqrt_mean
1/2/2020,0.509,0.604,0.453,0.351,0.401,0.322
1/3/2020,0.055,0.037,0.079,0.05,0.053,0.066
1/4/2020,-0.169,-0.048,-0.228,-0.074,-0.01,-0.111
1/5/2020,0.058,0.163,0.0,0.123,0.172,0.096
1/6/2020,0.42,0.408,0.427,0.328,0.361,0.32
1/7/2020,-0.327,-0.433,-0.289,-0.122,-0.197,-0.093
1/8/2020,0.059,0.118,0.051,0.046,0.064,0.047
1/9/2020,-0.2,-0.326,-0.156,-0.027,-0.079,-0.001
1/10/2020,-0.02,-0.154,0.034,0.019,-0.096,0.06
1/11/2020,-0.23,-0.342,-0.189,-0.151,-0.197,-0.133
1/12/2020,0.269,0.274,0.254,0.164,0.175,0.149
1/13/2020,0.321,0.41,0.276,0.234,0.302,0.202
1/14/2020,-0.087,-0.143,-0.065,0.038,0.029,0.043
1/15/2020,0.439,0.491,0.392,0.403,0.414,0.386
1/16/2020,0.104,0.162,0.074,0.114,0.164,0.09
1/17/2020,-0.477,-0.584,-0.446,-0.279,-0.206,-0.31
1/18/2020,0.352,0.435,0.293,0.283,0.324,0.253
1/19/2020,0.489,0.502,0.479,0.255,0.259,0.252
1/20/2020,-0.123,-0.159,-0.071,-0.007,-0.016,0.011
1/21/2020,0.8,0.933,0.702,0.507,0.628,0.431
1/22/2020,-0.211,-0.337,-0.168,-0.083,-0.129,-0.069
1/23/2020,-0.24,-0.241,-0.212,-0.017,-0.048,0.01
1/24/2020,0.017,-0.073,0.058,0.127,0.083,0.149
1/25/2020,0.401,0.448,0.372,0.247,0.226,0.258
1/26/2020,0.006,-0.087,0.064,0.156,0.145,0.166
1/27/2020,-0.081,-0.006,-0.092,-0.019,-0.047,0.0
1/28/2020,-0.049,0.228,-0.19,-0.081,0.193,-0.218
1/29/2020,0.055,-0.077,0.126,0.16,0.092,0.197
1/30/2020,0.421,0.556,0.358,0.209,0.236,0.194
1/31/2020,0.435,0.501,0.414,0.299,0.378,0.264
2/1/2020,0.584,0.71,0.515,0.317,0.358,0.296
2/2/2020,0.384,0.483,0.325,0.367,0.421,0.338
2/3/2020,0.271,0.319,0.268,0.139,0.167,0.134
2/4/2020,-0.218,-0.159,-0.232,0.004,0.017,0.004
2/5/2020,0.088,-0.013,0.14,0.149,0.066,0.187
2/6/2020,-0.16,-0.062,-0.203,-0.084,-0.07,-0.085
2/7/2020,-0.302,-0.526,-0.186,-0.182,-0.335,-0.111
2/8/2020,0.291,0.356,0.267,0.213,0.276,0.187
2/9/2020,0.601,0.672,0.574,0.219,0.188,0.235
2/10/2020,0.23,0.28,0.211,0.142,0.176,0.126
2/11/2020,0.332,0.475,0.25,0.19,0.272,0.14
2/12/2020,0.594,0.689,0.547,0.273,0.281,0.27
